img,idx_label,RGB.ROI_24.redDN,RGB.ROI_24.greenDN,RGB.ROI_24.blueDN,RGB.ROI_24.2G_RBi,RGB.ROI_24.pctR,RGB.ROI_24.pctG,RGB.ROI_24.pctB,RGB.ROI_24.nNDVI,RGB.ROI_24.totalRGB,RGB.ROI_24.AnyColor
2022 06 20 05 00 00.JPG, 147,193.006763,183.827820,150.716298,23.932580,0.365854,0.348455,0.285691,-0.024358,527.550881,-75.401987
2022 06 20 06 00 01.JPG, 148,188.456985,181.197791,149.365538,24.573059,0.363101,0.349115,0.287784,-0.019638,519.020314,-70.923700
2022 06 20 07 00 00.JPG, 149,191.058192,181.332698,150.164110,21.443095,0.365623,0.347012,0.287365,-0.026116,522.555001,-72.062669
2022 06 20 08 00 01.JPG, 150,185.261185,172.551534,142.503192,17.338690,0.370288,0.344885,0.284826,-0.035520,500.315911,-72.806334
2022 06 20 09 00 00.JPG, 151,182.473650,170.699614,139.122509,19.803069,0.370659,0.346742,0.282599,-0.033338,492.295773,-74.928245
2022 06 20 10 00 00.JPG, 152,183.138325,164.280973,122.540343,22.883279,0.389689,0.349564,0.260747,-0.054278,469.959641,-102.338613
2022 06 20 11 00 01.JPG, 153,182.154281,161.152824,118.629254,21.522114,0.394328,0.348864,0.256809,-0.061174,461.936359,-106.048596
2022 06 20 12 00 00.JPG, 154,182.130416,158.647835,115.646630,19.518623,0.399037,0.347588,0.253375,-0.068909,456.424882,-109.484990
2022 06 20 13 00 00.JPG, 155,190.789939,168.170746,121.186982,24.364570,0.397357,0.350248,0.252395,-0.063013,480.147666,-116.586720
2022 06 20 14 00 00.JPG, 156,193.748896,168.338604,118.498358,24.429955,0.403151,0.350278,0.246571,-0.070177,480.585858,-125.090785
2022 06 20 15 00 00.JPG, 157,185.620422,165.436366,127.352339,17.899971,0.387995,0.345805,0.266200,-0.057495,478.409127,-96.352109
2022 06 20 16 00 01.JPG, 158,189.198965,167.646290,127.577562,18.516053,0.390566,0.346074,0.263360,-0.060398,484.422817,-101.690130
2022 06 20 17 00 00.JPG, 159,194.378064,157.471694,110.609683,9.955641,0.420314,0.340509,0.239177,-0.104892,462.459441,-130.630391
2022 06 20 18 00 00.JPG, 160,194.872714,158.726117,113.696438,8.883082,0.417023,0.339670,0.243307,-0.102225,467.295269,-126.205956
2022 06 21 05 00 01.JPG, 161,188.395887,182.892794,151.554178,25.835523,0.360330,0.349805,0.289866,-0.014822,522.842859,-68.180324
2022 06 21 06 00 00.JPG, 162,191.888197,181.497641,148.550889,22.556195,0.367646,0.347739,0.284615,-0.027828,521.936728,-76.284060
2022 06 21 07 00 00.JPG, 163,197.251999,177.117473,136.060181,20.922767,0.386443,0.346997,0.266560,-0.053782,510.429653,-102.249110
2022 06 21 08 00 01.JPG, 164,175.880496,171.276390,144.543161,22.129123,0.357699,0.348335,0.293966,-0.013262,491.700047,-58.070564
2022 06 21 09 00 00.JPG, 165,192.975028,175.033278,128.932028,28.159501,0.388326,0.352222,0.259452,-0.048754,496.940333,-110.144250
2022 06 21 10 00 00.JPG, 166,189.002967,167.136993,121.029203,24.241816,0.396092,0.350268,0.253640,-0.061397,477.169163,-114.081555
2022 06 21 11 00 00.JPG, 167,181.652986,165.274507,129.545318,19.350710,0.381245,0.346871,0.271884,-0.047210,476.472811,-87.836857
2022 06 21 12 00 00.JPG, 168,177.209495,155.534618,110.863926,22.995815,0.399473,0.350613,0.249914,-0.065140,443.608038,-111.016261
2022 06 21 13 00 01.JPG, 169,189.874034,165.807197,116.558444,25.181916,0.402071,0.351108,0.246821,-0.067664,472.239675,-122.564343
2022 06 21 14 00 00.JPG, 170,189.894646,166.934856,118.041404,25.933662,0.399887,0.351537,0.248576,-0.064344,474.870906,-120.746695
2022 06 21 15 00 00.JPG, 171,184.896111,160.572087,110.567605,25.680458,0.405442,0.352104,0.242454,-0.070409,456.035802,-124.332988
2022 06 21 16 00 01.JPG, 172,182.350129,169.159911,131.592606,24.377087,0.377456,0.350153,0.272391,-0.037524,483.102647,-88.324828
2022 06 21 17 00 00.JPG, 173,180.285474,163.894910,125.497249,22.007097,0.383849,0.348952,0.267199,-0.047622,469.677633,-93.185886
2022 06 21 18 00 01.JPG, 174,184.501903,163.857097,117.877395,25.334897,0.395726,0.351446,0.252828,-0.059263,466.236395,-112.604211
2022 06 22 05 00 01.JPG, 175,189.682764,164.959035,123.834552,16.400755,0.396431,0.344759,0.258810,-0.069715,478.476351,-106.972697
2022 06 22 06 00 00.JPG, 176,198.250375,173.480453,126.215541,22.494990,0.398136,0.348392,0.253472,-0.066634,497.946369,-119.299745
2022 06 22 07 00 00.JPG, 177,197.507665,175.849622,129.617558,24.574020,0.392679,0.349619,0.257702,-0.058009,502.974845,-114.122171
2022 06 22 08 00 01.JPG, 178,193.203965,171.749042,129.380869,20.913250,0.390837,0.347435,0.261728,-0.058788,494.333876,-106.191269
2022 06 22 09 00 00.JPG, 179,192.845878,168.985408,127.044759,18.080180,0.394468,0.345661,0.259871,-0.065944,488.876045,-107.741769
2022 06 22 10 00 01.JPG, 180,192.842552,167.121257,120.583783,20.816180,0.401298,0.347773,0.250930,-0.071455,480.547592,-118.796243
2022 06 22 11 00 00.JPG, 181,191.210627,164.443266,119.747707,17.928198,0.402209,0.345904,0.251887,-0.075262,475.401600,-116.158478
