img,idx_label,RGB.ROI_20.redDN,RGB.ROI_20.greenDN,RGB.ROI_20.blueDN,RGB.ROI_20.2G_RBi,RGB.ROI_20.pctR,RGB.ROI_20.pctG,RGB.ROI_20.pctB,RGB.ROI_20.nNDVI,RGB.ROI_20.totalRGB,RGB.ROI_20.AnyColor,RGB.ROI_22.redDN,RGB.ROI_22.greenDN,RGB.ROI_22.blueDN,RGB.ROI_22.2G_RBi,RGB.ROI_22.pctR,RGB.ROI_22.pctG,RGB.ROI_22.pctB,RGB.ROI_22.nNDVI,RGB.ROI_22.totalRGB,RGB.ROI_22.AnyColor
2022 06 28 17 00 00.JPG, 273,176.043186,161.106271,122.652494,23.516862,0.382867,0.350382,0.266751,-0.044304,459.801951,-91.844469,172.989536,157.344011,114.681153,27.017333,0.388728,0.353570,0.257702,-0.047363,445.014699,-100.971241
2022 06 28 18 00 00.JPG, 274,188.959892,164.010765,104.336817,34.724821,0.413201,0.358644,0.228155,-0.070683,457.307474,-144.297022,178.789243,154.975991,95.071478,36.091260,0.416917,0.361387,0.221696,-0.071347,428.836712,-143.622277
2022 06 29 05 00 01.JPG, 275,149.240942,162.711886,147.020579,29.162252,0.325163,0.354513,0.320325,0.043183,458.973407,-17.911671,177.690420,181.194519,145.374351,39.324267,0.352379,0.359328,0.288293,0.009764,504.259290,-68.136236
2022 06 29 06 00 00.JPG, 276,164.266997,164.894126,140.921899,24.599357,0.349443,0.350777,0.299781,0.001905,470.083022,-47.317325,180.414955,177.700402,141.210659,33.775188,0.361317,0.355881,0.282803,-0.007580,499.326016,-75.694038
2022 06 29 07 00 00.JPG, 277,160.450720,158.628346,138.278917,18.527056,0.350821,0.346836,0.302343,-0.005711,457.357984,-42.521231,191.566784,184.243983,146.703564,30.217617,0.366625,0.352610,0.280765,-0.019485,522.514332,-82.403638
2022 06 29 08 00 01.JPG, 278,194.187344,181.857796,145.325827,24.202420,0.372455,0.348807,0.278738,-0.032787,521.370967,-85.393486,172.743739,164.782423,128.757629,28.063479,0.370469,0.353395,0.276136,-0.023587,466.283791,-80.010905
2022 06 29 09 00 00.JPG, 279,198.735838,181.730043,138.086471,26.637777,0.383251,0.350457,0.266292,-0.044697,518.552353,-104.292940,189.039904,176.221197,124.071511,39.330980,0.386322,0.360126,0.253553,-0.035095,489.332613,-117.118081
2022 06 29 10 00 00.JPG, 280,193.258920,175.830633,130.653361,27.748984,0.386717,0.351842,0.261441,-0.047220,499.742914,-107.782831,186.897482,171.025864,116.309634,38.844613,0.394105,0.360637,0.245258,-0.044344,474.232980,-125.304077
2022 06 29 11 05 12.JPG, 281,181.649094,164.334203,116.789861,30.229451,0.392523,0.355107,0.252370,-0.050045,462.773159,-112.403575,167.643549,149.417171,99.786075,31.404718,0.402171,0.358446,0.239383,-0.057485,416.846795,-117.488570
2022 06 29 12 05 12.JPG, 282,185.364439,168.598028,122.302592,29.529025,0.389204,0.354000,0.256795,-0.047368,476.265059,-109.357282,176.101232,157.331435,106.907095,31.654542,0.399921,0.357296,0.242783,-0.056293,440.339762,-119.618476
2022 06 29 13 05 13.JPG, 283,180.347325,164.116852,116.875957,31.010422,0.390921,0.355739,0.253340,-0.047118,461.340134,-110.712263,183.945864,164.848147,110.995177,34.755254,0.400066,0.358530,0.241404,-0.054754,459.789188,-126.803657
2022 06 29 14 05 12.JPG, 284,133.658546,124.326715,89.934180,25.060704,0.384165,0.357343,0.258491,-0.036172,347.919442,-78.116901,184.724238,166.437885,110.034052,38.117480,0.400533,0.360883,0.238584,-0.052074,461.196176,-131.094019
2022 06 29 15 05 12.JPG, 285,173.982258,156.529998,104.906960,34.170777,0.399574,0.359493,0.240933,-0.052804,435.419216,-120.698336,181.649208,161.538756,106.820851,34.607452,0.403657,0.358968,0.237375,-0.058599,450.008816,-129.546262
2022 06 29 16 05 13.JPG, 286,136.901357,133.446208,105.847326,24.143732,0.363911,0.354726,0.281363,-0.012780,376.194891,-58.652913,192.095973,176.380872,121.409300,39.256470,0.392124,0.360045,0.247832,-0.042649,489.886145,-125.658245
2022 06 29 17 05 12.JPG, 287,179.026883,159.655136,99.487429,40.795959,0.408579,0.364368,0.227052,-0.057197,438.169448,-139.707162,181.665064,162.163539,101.879273,40.782742,0.407588,0.363834,0.228579,-0.056719,445.707876,-140.070058
