img,idx_label,RGB.redDN,RGB.greenDN,RGB.blueDN,RGB.2G_RBi,RGB.pctR,RGB.pctG,RGB.pctB,RGB.nNDVI,RGB.totalRGB,RGB.AnyColor
2022 06 11 17 00 00.JPG, 32,160.596111,152.159521,98.657107,45.065824,0.390353,0.369846,0.239801,-0.026975,411.412739,-115.441419
2022 06 11 18 00 07.JPG, 33,166.400087,157.460980,80.437342,68.084532,0.411577,0.389467,0.198955,-0.027602,404.298409,-162.986383
2022 06 12 05 00 00.JPG, 34,172.404322,153.298163,89.421358,44.770645,0.415308,0.369283,0.215409,-0.058661,415.123843,-146.859768
2022 06 12 06 00 01.JPG, 35,176.405137,158.414868,88.905899,51.518700,0.416319,0.373862,0.209819,-0.053731,423.725904,-157.008207
2022 06 12 07 00 00.JPG, 36,174.780884,157.660043,89.136331,51.402871,0.414588,0.373977,0.211435,-0.051500,421.577258,-154.168265
2022 06 12 08 00 00.JPG, 37,172.686304,156.110100,86.674723,52.859172,0.415640,0.375742,0.208618,-0.050415,415.471126,-155.446958
2022 06 12 09 00 01.JPG, 38,172.720916,152.535910,83.646737,48.704168,0.422400,0.373036,0.204563,-0.062059,408.903562,-157.963353
2022 06 12 10 00 00.JPG, 39,173.396824,152.905326,83.321028,49.092799,0.423308,0.373283,0.203409,-0.062799,409.623178,-159.660093
2022 06 12 11 00 00.JPG, 40,166.811039,152.585003,83.262745,55.096222,0.414274,0.378944,0.206782,-0.044540,402.658787,-152.870552
2022 06 12 12 00 01.JPG, 41,177.559089,152.657488,80.425422,47.330466,0.432394,0.371753,0.195853,-0.075410,410.641999,-169.365734
2022 06 12 13 00 00.JPG, 42,170.611352,151.604945,82.906222,49.692315,0.421135,0.374220,0.204645,-0.058986,405.122519,-156.403853
2022 06 12 14 00 00.JPG, 43,173.837119,152.294290,80.157855,50.593606,0.427865,0.374842,0.197293,-0.066056,406.289265,-165.815699
2022 06 12 15 00 01.JPG, 44,172.462553,150.852354,76.532300,52.709854,0.431321,0.377275,0.191404,-0.066839,399.847207,-170.250307
2022 06 12 16 00 00.JPG, 45,160.579315,155.177614,91.439736,58.336176,0.394353,0.381088,0.224559,-0.017107,407.196665,-132.877457
2022 06 12 17 00 01.JPG, 46,169.149465,149.240022,71.231498,58.099081,0.434138,0.383039,0.182823,-0.062532,389.620986,-175.926491
2022 06 12 18 00 00.JPG, 47,174.726118,151.622158,71.478933,57.039265,0.439201,0.381126,0.179673,-0.070795,397.827210,-183.390410
2022 06 13 05 00 01.JPG, 48,185.140725,155.892081,84.590421,42.053016,0.434987,0.366268,0.198745,-0.085765,425.623227,-171.851964
2022 06 13 06 00 00.JPG, 49,181.422126,155.879328,83.401169,46.935361,0.431236,0.370521,0.198243,-0.075727,420.702624,-170.499116
2022 06 13 07 00 00.JPG, 50,188.735261,157.777144,77.860661,48.958367,0.444739,0.371789,0.183472,-0.089342,424.373066,-190.791084
