img,idx_label,RGB.ROI_02.redDN,RGB.ROI_02.greenDN,RGB.ROI_02.blueDN,RGB.ROI_02.2G_RBi,RGB.ROI_02.pctR,RGB.ROI_02.pctG,RGB.ROI_02.pctB,RGB.ROI_02.nNDVI,RGB.ROI_02.totalRGB,RGB.ROI_02.AnyColor,RGB.ROI_06.redDN,RGB.ROI_06.greenDN,RGB.ROI_06.blueDN,RGB.ROI_06.2G_RBi,RGB.ROI_06.pctR,RGB.ROI_06.pctG,RGB.ROI_06.pctB,RGB.ROI_06.nNDVI,RGB.ROI_06.totalRGB,RGB.ROI_06.AnyColor,RGB.ROI_09.redDN,RGB.ROI_09.greenDN,RGB.ROI_09.blueDN,RGB.ROI_09.2G_RBi,RGB.ROI_09.pctR,RGB.ROI_09.pctG,RGB.ROI_09.pctB,RGB.ROI_09.nNDVI,RGB.ROI_09.totalRGB,RGB.ROI_09.AnyColor
2022 06 22 10 00 01.JPG,  99,165.368562,148.837544,92.532364,39.774162,0.406572,0.365929,0.227498,-0.052612,406.738469,-129.141378,158.275039,149.287783,88.514840,51.785687,0.399606,0.376915,0.223478,-0.029221,396.077662,-130.533143,154.882484,135.005545,77.224399,37.904207,0.421894,0.367750,0.210356,-0.068568,367.112428,-135.439232
2022 06 22 11 00 00.JPG, 100,171.488508,157.410484,103.088111,40.244349,0.396976,0.364387,0.238637,-0.042803,431.987103,-122.722770,168.601720,160.846162,101.029408,52.061197,0.391662,0.373646,0.234692,-0.023541,430.477290,-127.389067,162.889799,143.001241,89.188183,33.924499,0.412297,0.361956,0.225748,-0.065018,395.079223,-127.514673
2022 06 22 11 30 47.JPG, 101,154.786117,141.684360,89.545758,39.036845,0.400983,0.367042,0.231974,-0.044192,386.016235,-117.378960,155.988548,150.802746,93.819692,51.797252,0.389377,0.376432,0.234192,-0.016903,400.610986,-119.151910,146.118562,130.532764,78.695001,36.251965,0.411200,0.367340,0.221460,-0.056337,355.346327,-119.261323
2022 06 22 12 30 46.JPG, 102,170.777363,153.823435,98.352635,38.516872,0.403773,0.363689,0.232538,-0.052230,422.953433,-127.895528,170.653074,161.307134,101.692227,50.268968,0.393525,0.371973,0.234502,-0.028154,433.652434,-128.575754,164.254926,143.747291,89.849285,33.390371,0.412855,0.361309,0.225836,-0.066583,397.851501,-128.303646
2022 06 22 13 30 46.JPG, 103,165.296769,152.889842,99.577346,40.905568,0.395670,0.365972,0.238358,-0.038993,417.763957,-119.031918,168.963658,164.121236,104.930198,54.348616,0.385748,0.374693,0.239558,-0.014538,438.015092,-123.224498,162.511604,146.322619,92.716131,37.417504,0.404710,0.364394,0.230895,-0.052420,401.550354,-123.401961
2022 06 22 14 30 47.JPG, 104,164.962337,150.729068,97.542449,38.953350,0.399199,0.364755,0.236047,-0.045086,413.233855,-120.606507,168.199892,161.627903,103.488850,51.567065,0.388169,0.373002,0.238830,-0.019926,433.316645,-122.850096,161.116443,143.142906,90.469024,34.700346,0.408170,0.362636,0.229193,-0.059073,394.728373,-123.321301
2022 06 22 15 30 46.JPG, 105,165.013773,152.316116,99.343008,40.275451,0.396027,0.365553,0.238420,-0.040014,416.672896,-118.643873,168.195377,162.270073,103.228384,53.116386,0.387821,0.374158,0.238021,-0.017930,433.693834,-124.008682,155.181662,138.850819,87.320210,35.199765,0.406924,0.364101,0.228975,-0.055541,381.352691,-119.392060
2022 06 22 16 30 46.JPG, 106,162.416760,150.380635,98.254592,40.089917,0.395125,0.365843,0.239032,-0.038479,411.051987,-116.288210,167.723455,162.909736,104.519458,53.576560,0.385436,0.374374,0.240190,-0.014559,435.152649,-121.594276,153.910435,138.202367,86.754754,35.739545,0.406238,0.364778,0.228984,-0.053774,378.867556,-118.603294
2022 06 22 17 30 47.JPG, 107,153.805723,143.092308,92.885332,39.493561,0.394593,0.367107,0.238300,-0.036084,389.783363,-111.127366,186.595195,182.410716,112.525595,65.700643,0.387504,0.378814,0.233683,-0.011340,481.531506,-143.954722,147.125119,133.634781,82.789326,37.355117,0.404691,0.367584,0.227725,-0.048049,363.549226,-115.181249
2022 06 22 18 30 46.JPG, 108,165.123970,161.272838,111.482642,45.939064,0.377099,0.368304,0.254597,-0.011799,437.879451,-103.431524,175.826603,178.700419,116.788115,64.786120,0.373055,0.379153,0.247792,0.008106,471.315137,-120.950793,151.955482,145.658314,95.372347,43.988801,0.386669,0.370645,0.242686,-0.021159,392.986143,-106.869103
